"final_gene_name"	"Z-score"	"Enriched in"	"affy_hg_u133_plus_2"
"150"	"HLA-F"	3.417	"LZ"	"204806_x_at"
"151"	"HLA-F"	3.417	"LZ"	"204806_x_at"
"152"	"HLA-F"	3.417	"LZ"	"204806_x_at"
"153"	"HLA-F"	3.417	"LZ"	"204806_x_at"
"154"	"HLA-F"	3.417	"LZ"	"204806_x_at"
"155"	"MIR3142HG"	3.41	"LZ"	"232504_at"
"156"	"ACKR3"	3.407	"LZ"	"212977_at"
"157"	"AMIGO2"	3.387	"LZ"	"222108_at"
"158"	"MKNK2"	3.387	"LZ"	"223199_at"
"159"	"RNASET2"	3.386	"LZ"	"217984_at"
"160"	"NRIP1"	3.383	"LZ"	"202599_s_at"
"161"	"LRRC32"	3.373	"LZ"	"203835_at"
"162"	"EGR1"	3.372	"LZ"	"201694_s_at"
"163"	"POLR1C"	3.363	"LZ"	"207515_s_at"
"164"	"DIMT1"	3.352	"LZ"	"204405_x_at"
"165"	"FCRL5"	3.347	"LZ"	"224405_at"
"166"	"GLDC"	3.326	"LZ"	"204836_at"
"167"	"DUSP4"	3.325	"LZ"	"226034_at"
"168"	"DUSP4"	3.314	"LZ"	"204015_s_at"
"169"	"ICAM3"	3.298	"LZ"	"204949_at"
"170"	"RAVER1"	3.298	"LZ"	"204949_at"
"171"	"GAS5"	3.29	"LZ"	"228238_at"
"172"	"HLA-DQB1"	3.289	"LZ"	"212998_x_at"
"173"	"HLA-DQB1"	3.289	"LZ"	"212998_x_at"
"174"	"HLA-DQB1"	3.289	"LZ"	"212998_x_at"
"175"	"HLA-DQB1"	3.289	"LZ"	"212998_x_at"
"176"	"HLA-DQB1"	3.289	"LZ"	"212998_x_at"
"177"	"HLA-DQB1"	3.289	"LZ"	"212998_x_at"
"178"	"HLA-DQB1"	3.289	"LZ"	"212998_x_at"
"179"	"DUSP22"	3.257	"LZ"	"218845_at"
"180"	"HLA-DQB1"	3.251	"LZ"	"211654_x_at"
"181"	"C2CD4D-AS1"	3.251	"LZ"	"230428_at"
"182"	"MYO1C"	3.236	"LZ"	"214656_x_at"
"183"	"CD58"	3.228	"LZ"	"205173_x_at"
"184"	"AC079630.1"	3.228	"LZ"	"236065_at"
"185"	"IER2"	3.225	"LZ"	"202081_at"
"186"	"RBBP8NL"	3.225	"LZ"	"236258_at"
"187"	"MDFIC"	3.223	"LZ"	"211675_s_at"
"188"	"QTRT1"	3.222	"LZ"	"221270_s_at"
"189"	"NOP16"	3.216	"LZ"	"203023_at"
"190"	"GALNT6"	3.199	"LZ"	"219956_at"
"191"	"MPEG1"	3.198	"LZ"	"226841_at"
"192"	"LOC100288438"	3.193	"LZ"	"231422_x_at"
"193"	"CD44"	3.191	"LZ"	"212063_at"
"194"	"ICAM1"	3.189	"LZ"	"202638_s_at"
"195"	"MYBBP1A"	3.187	"LZ"	"233803_s_at"
"196"	"ADAT2"	3.177	"LZ"	"227213_at"
