TF	Targets
ATF1	WBP11
ATF1	WDR12
ATF1	WDR18
ATF1	WDR74
ATF1	WDR75
ATF1	WDR83
ATF1	WRAP73
ATF1	XPO7
ATF1	XRCC6
ATF1	YBX1
ATF1	YRDC
ATF1	ZC3H18
ATF1	ZFP36
ATF1	ZMYND19
ATF1	ZMYND8
ATF1	ZNF263
ATF1	ZNF408
ATF1	ZNF551
ATF1	ZNRD1
ATF1	ZPR1
ATF1	ZRANB3
ATF1	ZSCAN16
ATF1	ZSWIM7
ATF2	ATF2
ATF2	C14orf28
ATF2	FOXN2
ATF2	SLC46A3
ATF3	ABCE1
ATF3	ACTA2
ATF3	ADGRE5
ATF3	AEN
ATF3	AIMP1
ATF3	AKIRIN1
ATF3	ANKRA2
ATF3	ARL4A
ATF3	ASB16-AS1
ATF3	ATF3
ATF3	ATL2
ATF3	B3GNT7
ATF3	BACH1
ATF3	BBC3
ATF3	BCL2
ATF3	BCL2A1
ATF3	BOLA2B
ATF3	C19orf25
ATF3	CAMTA2
ATF3	CBX6
ATF3	CCDC117
ATF3	CCDC50
ATF3	CCL3
ATF3	CCP110
ATF3	CCSER2
ATF3	CD44
ATF3	CD82
ATF3	CDIP1
ATF3	CDKN1A
ATF3	CENPU
ATF3	CFAP97
ATF3	CHIC2
ATF3	CHMP2A
ATF3	CNOT1
ATF3	COMMD2
ATF3	COQ7
ATF3	COX20
ATF3	CTNNB1
ATF3	CTR9
ATF3	CWC25
ATF3	CYC1
ATF3	DCAF13
ATF3	DCP1B
ATF3	DDIT4
ATF3	DDX20
ATF3	DNPEP
ATF3	DUSP10
ATF3	DUSP22
ATF3	DVL2
ATF3	E2F7
ATF3	EBI3
ATF3	EBNA1BP2
ATF3	ECE1
ATF3	EIF1
ATF3	EIF1B
ATF3	EIF2S2
ATF3	EIF4EBP1
ATF3	EIF5
ATF3	EIF5A2
ATF3	EMP3
ATF3	ESF1
ATF3	FAM120AOS
ATF3	FARSA
ATF3	FBXL5
ATF3	FBXO42
ATF3	FDXR
ATF3	FIGNL1
ATF3	FKRP
ATF3	GADD45A
ATF3	GADD45B
ATF3	GAK
ATF3	GARS
ATF3	GFM1
ATF3	GGNBP2
ATF3	GLTP
ATF3	GNPTG
ATF3	GOLIM4
ATF3	GPATCH3
ATF3	GTF2B
ATF3	HAUS6
ATF3	HDAC9
ATF3	HGSNAT
ATF3	ICAM1
ATF3	IER5
ATF3	IFRD1
ATF3	IFRD2
ATF3	ITFG2
ATF3	KDM3B
ATF3	KDM6B
ATF3	KIAA0232
ATF3	KLF10
ATF3	KPNA1
ATF3	KPNA4
ATF3	LAPTM5
ATF3	LIG3
ATF3	LINC00158
ATF3	LMNA
ATF3	LTA
ATF3	MAD1L1
ATF3	MAGOHB
ATF3	MAP1LC3B
ATF3	MAP4
ATF3	MARCKS
ATF3	MDM2
ATF3	MED28
ATF3	METTL1
ATF3	MFSD2A
ATF3	MIA3
ATF3	MICU2
ATF3	MIOS
ATF3	MIR155HG
ATF3	MIR22HG
ATF3	MRPL49
ATF3	MRPS30
ATF3	MTHFD1L
ATF3	MTHFD2
ATF3	MTRNR2L1
ATF3	MYC
ATF3	MYO9B
ATF3	NADSYN1
ATF3	NAMPT
ATF3	NDUFA10
ATF3	NFIC
ATF3	NFKB1
ATF3	NFKB2
ATF3	NFKBIA
ATF3	NFKBIZ
ATF3	NIFK
ATF3	NINJ2
ATF3	NMT1
ATF3	NOL9
ATF3	NOM1
ATF3	NPW
ATF3	NSA2
ATF3	NUDT9
ATF3	NUP214
ATF3	ODC1
ATF3	PAM
ATF3	PAWR
ATF3	PCK2
ATF3	PDCD10
ATF3	PELI1
ATF3	PHLPP1
ATF3	PICK1
ATF3	PIM3
ATF3	PIP5K1B
ATF3	PLEKHO2
ATF3	PLK2
ATF3	PLK3
ATF3	PMAIP1
ATF3	PNO1
ATF3	POLR1E
ATF3	POLR3C
ATF3	POR
ATF3	PPP1CB
ATF3	PPP1R15A
ATF3	PPP1R8
ATF3	PPP3R1
ATF3	PPP6R3
ATF3	PRAF2
ATF3	PRMT1
ATF3	PRR14L
ATF3	PRRC2A
ATF3	PSAT1
ATF3	PSMC6
ATF3	PTER
ATF3	PTPN11
ATF3	PUS1
ATF3	PUSL1
ATF3	PVT1
ATF3	PYCR1
ATF3	RAB10
ATF3	RAD9A
ATF3	RARA
ATF3	RASSF7
ATF3	RBM18
ATF3	RBM7
ATF3	RCBTB2
ATF3	RCN1
ATF3	RDH14
ATF3	REEP3
ATF3	RIN3
ATF3	RNF11
ATF3	RNF167
